Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
36,1-Dec-17,"2,645.10","2,694.97","2,605.52","2,673.61","2,673.61","65,251,190,000",0.01,0.983,42.487499,44.299999,41.615002,42.307499,40.522728,2124735200,-0.012,-1.171,44.73,47.639999,42.669998,46.16,42.072269,559756900,0.035538646,3.554,25.620001,28.49,25.200001,27.450001,25.382158,198351900,0.067512086,6.751
37,1-Jan-18,"2,683.73","2,872.87","2,682.36","2,823.81","2,823.81","76,860,120,000",0.06,5.618,42.540001,45.025002,41.174999,41.857498,40.091713,2638717600,-0.011,-1.064,46.380001,50.849998,42.439999,48.139999,43.87693,910041000,0.042894311,4.289,27.540001,31.450001,26.540001,30.360001,28.072943,225256800,0.106010884,10.601
38,1-Feb-18,"2,816.45","2,835.96","2,532.69","2,713.83","2,713.83","79,579,410,000",-0.04,-3.895,41.7925,45.154999,37.560001,44.529999,42.651478,3711577200,0.064,6.385,47.700001,50.900002,42.040001,49.290001,44.925087,608494100,0.023888567,2.389,30.209999,30.700001,26.629999,27.120001,25.077019,170190800,-0.106719271,-10.672
39,1-Mar-18,"2,715.22","2,801.90","2,585.89","2,640.87","2,640.87","76,369,800,000",-0.03,-2.688,44.634998,45.875,41.235001,41.945,40.339325,2854910800,-0.054,-5.421,49.5,53.779999,46.959999,52.080002,47.790058,710899300,0.063772186,6.377,27.290001,28.290001,22.85,23.940001,22.235413,290681600,-0.113315143,-11.332
40,1-Apr-18,"2,633.45","2,717.49","2,553.80","2,648.05","2,648.05","69,648,590,000",0,0.272,41.66,44.735001,40.157501,41.314999,39.733444,2664617200,-0.015,-1.502,51.689999,55.790001,47.290001,51.619999,47.36795,666315000,-0.008832548,-0.883,23.92,26.040001,23.15,25.190001,23.396408,185807600,0.052213782,5.221
41,1-May-18,"2,642.96","2,742.24","2,594.62","2,705.27","2,705.27","75,617,280,000",0.02,2.161,41.602501,47.592499,41.317501,46.717499,44.929134,2483905200,0.131,13.076,51.639999,56.200001,51,55.200001,50.653061,486323900,0.069353033,6.935,25.059999,26.370001,23.610001,24.33,22.597643,248278100,-0.034140497,-3.414
42,1-Jun-18,"2,718.70","2,791.47","2,691.99","2,718.37","2,718.37","77,439,710,000",0,0.484,46.997501,48.549999,45.182499,46.2775,44.677589,2110498000,-0.006,-0.56,55.84,57.599998,48.5,49.709999,45.87854,638342400,-0.094259279,-9.426,24.33,30,24.24,28.450001,26.55941,301143500,0.175317709,17.532
43,1-Jul-18,"2,704.95","2,848.03","2,698.95","2,816.29","2,816.29","64,542,170,000",0.04,3.602,45.955002,48.990002,45.855,47.572498,45.927818,1574765600,0.028,2.798,49.040001,53.299999,46.43,48.099998,44.392632,479303100,-0.032387866,-3.239,28.4,29.84,27.639999,29,27.072859,164592900,0.019332094,1.933
44,1-Aug-18,"2,821.17","2,916.50","2,796.34","2,901.52","2,901.52","69,238,220,000",0.03,3.026,49.782501,57.217499,49.327499,56.907501,54.94009,2801275600,0.196,19.623,48.060001,50.599998,46.189999,48.43,44.697197,516977100,0.006860711,0.686,29.360001,32.400002,28.58,31.5,29.406727,180522000,0.086206928,8.621
45,1-Sep-18,"2,896.96","2,940.91","2,864.12","2,913.98","2,913.98","62,492,080,000",0,0.429,57.102501,57.4175,53.825001,56.435001,54.675011,2715888000,-0.005,-0.482,48.380001,48.43,44.060001,47.290001,43.910496,462762400,-0.017600679,-1.76,31.540001,32.740002,27.540001,29.110001,27.303432,226269200,-0.071524281,-7.152
46,1-Oct-18,"2,926.29","2,939.86","2,603.54","2,711.74","2,711.74","91,327,930,000",-0.07,-6.94,56.987499,58.3675,51.522499,54.715,53.008648,3158994000,-0.03,-3.048,46.790001,49.720001,42.360001,46.880001,43.529797,782226900,-0.008669886,-0.867,29.15,30.389999,26.629999,29.76,27.913099,208205100,0.022329317,2.233
47,1-Nov-18,"2,717.58","2,815.15","2,631.09","2,760.17","2,760.17","80,080,110,000",0.02,1.786,54.762501,55.59,42.564999,44.645,43.252705,3845305600,-0.184,-18.404,46.950001,49.32,46.52,49.310001,45.786137,552786700,0.051834379,5.183,30.040001,31.98,29.049999,29.66,27.819302,137111500,-0.003360322,-0.336
48,1-Dec-18,"2,790.50","2,800.18","2,346.58","2,506.85","2,506.85","83,522,570,000",-0.09,-9.178,46.115002,46.235001,36.647499,39.435001,38.338478,3595690000,-0.114,-11.362,50,50.5,43.509998,46.93,43.850452,565278100,-0.042276661,-4.228,29.48,30.4,26.43,27.5,25.908941,153453300,-0.068670343,-6.867
49,1-Jan-19,"2,476.96","2,708.95","2,443.96","2,704.10","2,704.10","80,401,630,000",0.08,7.868,38.7225,42.25,35.5,41.610001,40.452999,3312349600,0.055,5.515,45.959999,50.040001,44.389999,47.119999,44.027988,620374700,0.00404867,0.405,27.389999,29.610001,27.08,28.33,26.69092,132142700,0.03018182,3.018
